bukken,ttl,epoc,rowdata,datetime
tama_b,1762736579,1752109379026,"{""gwid"":""g18"",""ch"":30,""sf"":11,""panid"":20101,""node"":{""id"":726,""rssi"":-65,""interval"":80,""seq"":83,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.6,""humidity"":61,""pressure"":1012,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986075d"",""rssi"":-86,""volt"":2.91},{""id"":""0081f9860662"",""rssi"":-77,""volt"":3.06},{""id"":""0081f98602f6"",""rssi"":-69,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-68,""volt"":2.9699999999999998},{""id"":""0081f9860866"",""rssi"":-67,""volt"":3.01},{""id"":""0081f986057c"",""rssi"":-65,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-63,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-63,""volt"":3.05},{""id"":""0081f986053f"",""rssi"":-59,""volt"":2.96}]}",2025/07/10 10:02:59.026
tama_b,1762736583,1752109383137,"{""gwid"":""g18"",""ch"":28,""sf"":11,""panid"":20101,""node"":{""id"":730,""rssi"":-77,""interval"":80,""seq"":53,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25,""humidity"":61,""pressure"":1011.6,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986075d"",""rssi"":-84,""volt"":2.96},{""id"":""0081f98602f6"",""rssi"":-73,""volt"":3.01},{""id"":""0081f9860662"",""rssi"":-70,""volt"":3.06},{""id"":""0081f9860866"",""rssi"":-68,""volt"":3.01},{""id"":""0081f986053f"",""rssi"":-65,""volt"":2.96},{""id"":""0081f986057c"",""rssi"":-64,""volt"":3.14},{""id"":""0081f9860356"",""rssi"":-59,""volt"":3.05},{""id"":""0081f986083d"",""rssi"":-58,""volt"":2.9699999999999998},{""id"":""0081f98608fc"",""rssi"":-56,""volt"":2.9699999999999998}]}",2025/07/10 10:03:03.137
tama_b,1762736595,1752109394830,"{""gwid"":""g18"",""ch"":25,""sf"":11,""panid"":20101,""node"":{""id"":727,""rssi"":-59,""interval"":79,""seq"":101,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.3,""humidity"":60,""pressure"":1011.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986075d"",""rssi"":-91,""volt"":2.96},{""id"":""0081f9860866"",""rssi"":-77,""volt"":2.9699999999999998},{""id"":""0081f9860662"",""rssi"":-66,""volt"":3.06},{""id"":""0081f98602f6"",""rssi"":-62,""volt"":3.01},{""id"":""0081f986057c"",""rssi"":-62,""volt"":3.14},{""id"":""0081f986053f"",""rssi"":-61,""volt"":3},{""id"":""0081f986083d"",""rssi"":-58,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-58,""volt"":3.05},{""id"":""0081f98608fc"",""rssi"":-53,""volt"":2.9699999999999998}]}",2025/07/10 10:03:14.830
tama_b,1762736604,1752109404335,"{""gwid"":""g18"",""ch"":26,""sf"":11,""panid"":20101,""node"":{""id"":728,""rssi"":-55,""interval"":81,""seq"":61,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.2,""humidity"":61,""pressure"":1012.1,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986053f"",""rssi"":-67,""volt"":3},{""id"":""0081f9860662"",""rssi"":-66,""volt"":3.06},{""id"":""0081f9860356"",""rssi"":-62,""volt"":3.05},{""id"":""0081f98602f6"",""rssi"":-59,""volt"":3.01},{""id"":""0081f986083d"",""rssi"":-54,""volt"":2.9699999999999998},{""id"":""0081f986057c"",""rssi"":-51,""volt"":3.14},{""id"":""0081f98608fc"",""rssi"":-51,""volt"":2.9699999999999998},{""id"":""0081f9860866"",""rssi"":-49,""volt"":3.01}]}",2025/07/10 10:03:24.335
tama_b,1762736632,1752109431790,"{""gwid"":""g18"",""ch"":27,""sf"":11,""panid"":20101,""node"":{""id"":729,""rssi"":-53,""interval"":81,""seq"":47,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":26.2,""humidity"":60,""pressure"":1012.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-66,""volt"":3.06},{""id"":""0081f9860866"",""rssi"":-65,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-63,""volt"":2.92},{""id"":""0081f986057c"",""rssi"":-62,""volt"":3.14},{""id"":""0081f986053f"",""rssi"":-56,""volt"":3},{""id"":""0081f98602f6"",""rssi"":-54,""volt"":3.01},{""id"":""0081f9860356"",""rssi"":-51,""volt"":3.05},{""id"":""0081f986083d"",""rssi"":-48,""volt"":2.9699999999999998}]}",2025/07/10 10:03:51.790
tama_b,1762736664,1752109463710,"{""gwid"":""g18"",""ch"":28,""sf"":11,""panid"":20101,""node"":{""id"":730,""rssi"":-59,""interval"":81,""seq"":55,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.9,""humidity"":61,""pressure"":1011.6,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-69,""volt"":3.06},{""id"":""0081f986057c"",""rssi"":-67,""volt"":3.14},{""id"":""0081f9860866"",""rssi"":-64,""volt"":3.01},{""id"":""0081f9860356"",""rssi"":-62,""volt"":3.05},{""id"":""0081f986083d"",""rssi"":-60,""volt"":2.9699999999999998},{""id"":""0081f98602f6"",""rssi"":-55,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-50,""volt"":2.92},{""id"":""0081f986053f"",""rssi"":-49,""volt"":3}]}",2025/07/10 10:04:23.710
tama_b,1762736664,1752109463819,"{""gwid"":""g18"",""ch"":30,""sf"":11,""panid"":20101,""node"":{""id"":726,""rssi"":-48,""interval"":80,""seq"":85,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.6,""humidity"":61,""pressure"":1012,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986075d"",""rssi"":-83,""volt"":2.96},{""id"":""0081f9860662"",""rssi"":-72,""volt"":3.06},{""id"":""0081f9860866"",""rssi"":-70,""volt"":3.01},{""id"":""0081f98602f6"",""rssi"":-68,""volt"":3.01},{""id"":""0081f986083d"",""rssi"":-62,""volt"":2.9699999999999998},{""id"":""0081f986057c"",""rssi"":-61,""volt"":3.14},{""id"":""0081f98608fc"",""rssi"":-61,""volt"":2.9699999999999998},{""id"":""0081f986053f"",""rssi"":-58,""volt"":3},{""id"":""0081f9860356"",""rssi"":-49,""volt"":3}]}",2025/07/10 10:04:23.819
tama_b,1762736674,1752109473981,"{""gwid"":""g18"",""ch"":25,""sf"":11,""panid"":20101,""node"":{""id"":727,""rssi"":-59,""interval"":79,""seq"":103,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.2,""humidity"":59,""pressure"":1011.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-72,""volt"":3.06},{""id"":""0081f9860866"",""rssi"":-64,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-63,""volt"":3.05},{""id"":""0081f986057c"",""rssi"":-63,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-62,""volt"":2.9699999999999998},{""id"":""0081f98602f6"",""rssi"":-60,""volt"":3.01},{""id"":""0081f986053f"",""rssi"":-58,""volt"":3},{""id"":""0081f98608fc"",""rssi"":-56,""volt"":2.92}]}",2025/07/10 10:04:33.981
tama_b,1762736685,1752109484712,"{""gwid"":""g18"",""ch"":26,""sf"":11,""panid"":20101,""node"":{""id"":728,""rssi"":-55,""interval"":80,""seq"":63,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.1,""humidity"":60,""pressure"":1012.1,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986053f"",""rssi"":-70,""volt"":2.96},{""id"":""0081f9860662"",""rssi"":-67,""volt"":3.06},{""id"":""0081f98602f6"",""rssi"":-65,""volt"":3.01},{""id"":""0081f986057c"",""rssi"":-59,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-58,""volt"":2.92},{""id"":""0081f98608fc"",""rssi"":-53,""volt"":2.92},{""id"":""0081f9860866"",""rssi"":-46,""volt"":3.01}]}",2025/07/10 10:04:44.712
tama_b,1762736712,1752109512147,"{""gwid"":""g18"",""ch"":27,""sf"":11,""panid"":20101,""node"":{""id"":729,""rssi"":-47,""interval"":80,""seq"":49,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":26.2,""humidity"":60,""pressure"":1012.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-73,""volt"":3.06},{""id"":""0081f986053f"",""rssi"":-68,""volt"":3},{""id"":""0081f9860866"",""rssi"":-59,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-57,""volt"":2.92},{""id"":""0081f986057c"",""rssi"":-57,""volt"":3.14},{""id"":""0081f98602f6"",""rssi"":-54,""volt"":3.01},{""id"":""0081f986083d"",""rssi"":-51,""volt"":2.92},{""id"":""0081f9860356"",""rssi"":-50,""volt"":3.05}]}",2025/07/10 10:05:12.147
