datetime,node_id,tag_id,tag_rssi,tag_volt
2026/01/30 09:08:35.550,203,0081f986054d,-67,2.51
2026/01/30 09:08:38.348,699,0081f986054d,-67,2.38
2026/01/30 09:08:51.485,698,0081f986054d,-65,2.47
2026/01/30 09:09:13.047,730,0081f986054d,-66,2.56
2026/01/30 09:09:13.808,728,0081f986054d,-87,2.74
2026/01/30 09:09:15.699,700,0081f986054d,-72,2.56
2026/01/30 09:09:17.579,729,0081f986054d,-64,2.56
2026/01/30 09:09:18.803,697,0081f986054d,-64,2.74
2026/01/30 09:09:21.755,691,0081f986054d,-77,2.74
2026/01/30 09:09:22.026,696,0081f986054d,-72,2.74
2026/01/30 09:09:25.881,202,0081f986054d,-68,2.74
2026/01/30 09:09:28.807,205,0081f986054d,-84,2.74
2026/01/30 09:09:54.428,695,0081f986054d,-64,2.74
2026/01/30 09:09:56.599,203,0081f986054d,-71,2.74
2026/01/30 09:09:59.665,699,0081f986054d,-83,2.74
2026/01/30 09:10:13.927,698,0081f986054d,-71,2.79
2026/01/30 09:10:35.242,204,0081f986054d,-79,2.74
2026/01/30 09:10:38.320,730,0081f986054d,-73,2.74
2026/01/30 09:10:40.832,729,0081f986054d,-75,2.74
2026/01/30 09:10:41.304,697,0081f986054d,-70,2.74
2026/01/30 09:10:42.552,696,0081f986054d,-72,2.74
2026/01/30 09:10:43.901,691,0081f986054d,-73,2.74
2026/01/30 09:10:44.629,726,0081f986054d,-94,2.74
2026/01/30 09:10:47.230,202,0081f986054d,-76,2.74
2026/01/30 09:10:50.481,205,0081f986054d,-81,2.74
2026/01/30 09:11:16.619,695,0081f986054d,-59,2.79
2026/01/30 09:11:17.573,203,0081f986054d,-76,2.79
2026/01/30 09:11:20.912,699,0081f986054d,-81,2.79
2026/01/30 09:11:37.343,698,0081f986054d,-84,2.79
2026/01/30 09:11:55.725,204,0081f986054d,-87,2.74
2026/01/30 09:12:00.197,700,0081f986054d,-93,2.74
2026/01/30 09:12:02.753,697,0081f986054d,-76,2.79
2026/01/30 09:12:03.266,730,0081f986054d,-77,2.74
2026/01/30 09:12:03.723,696,0081f986054d,-79,2.79
2026/01/30 09:12:04.344,729,0081f986054d,-83,2.74
2026/01/30 09:12:05.577,691,0081f986054d,-75,2.79
2026/01/30 09:12:09.014,202,0081f986054d,-75,2.79
2026/01/30 09:12:12.954,205,0081f986054d,-81,2.79
2026/01/30 09:12:38.830,203,0081f986054d,-78,2.79
2026/01/30 09:12:38.854,695,0081f986054d,-66,2.79
2026/01/30 09:12:41.779,699,0081f986054d,-85,2.74
2026/01/30 09:12:52.668,692,0081f986054d,-92,2.74
2026/01/30 09:12:59.582,698,0081f986054d,-77,2.79
2026/01/30 09:13:16.382,204,0081f986054d,-89,2.74
2026/01/30 09:13:23.786,697,0081f986054d,-79,2.74
2026/01/30 09:13:24.010,696,0081f986054d,-80,2.74
2026/01/30 09:13:25.762,730,0081f986054d,-75,2.74
2026/01/30 09:13:26.298,691,0081f986054d,-82,2.74
2026/01/30 09:13:27.068,729,0081f986054d,-81,2.74
2026/01/30 09:13:29.778,202,0081f986054d,-76,2.74
2026/01/30 09:13:33.932,205,0081f986054d,-80,2.7
2026/01/30 09:13:59.743,203,0081f986054d,-73,2.79
2026/01/30 09:14:01.480,695,0081f986054d,-66,2.79
2026/01/30 09:14:03.061,699,0081f986054d,-92,2.79
2026/01/30 09:14:22.023,698,0081f986054d,-80,2.74
2026/01/30 09:14:33.421,728,0081f986054d,-91,2.79
2026/01/30 09:14:36.940,204,0081f986054d,-86,2.74
2026/01/30 09:14:43.604,700,0081f986054d,-90,2.74
2026/01/30 09:14:44.948,696,0081f986054d,-78,2.74
2026/01/30 09:14:45.143,697,0081f986054d,-75,2.74
2026/01/30 09:14:47.668,691,0081f986054d,-74,2.74
2026/01/30 09:14:50.130,729,0081f986054d,-78,2.74
2026/01/30 09:14:50.869,202,0081f986054d,-78,2.74
2026/01/30 09:14:55.144,205,0081f986054d,-85,2.74
2026/01/30 09:15:21.130,203,0081f986054d,-74,2.79
2026/01/30 09:15:23.824,695,0081f986054d,-73,2.79
2026/01/30 09:15:24.075,699,0081f986054d,-82,2.79
2026/01/30 09:15:30.855,692,0081f986054d,-89,2.79
2026/01/30 09:15:43.949,698,0081f986054d,-72,2.74
2026/01/30 09:15:57.728,204,0081f986054d,-85,2.74
2026/01/30 09:16:05.872,696,0081f986054d,-75,2.79
2026/01/30 09:16:06.287,697,0081f986054d,-81,2.79
2026/01/30 09:16:08.844,691,0081f986054d,-79,2.79
2026/01/30 09:16:11.266,730,0081f986054d,-84,2.74
2026/01/30 09:16:12.103,202,0081f986054d,-75,2.74
2026/01/30 09:16:13.003,729,0081f986054d,-84,2.74
2026/01/30 09:16:42.222,203,0081f986054d,-87,2.74
2026/01/30 09:16:45.389,699,0081f986054d,-81,2.74
2026/01/30 09:16:46.408,695,0081f986054d,-67,2.74
2026/01/30 09:16:49.713,692,0081f986054d,-91,2.74
2026/01/30 09:17:06.290,698,0081f986054d,-79,2.74
2026/01/30 09:17:18.608,204,0081f986054d,-85,2.74
2026/01/30 09:17:26.729,696,0081f986054d,-80,2.74
2026/01/30 09:17:27.821,697,0081f986054d,-72,2.74
2026/01/30 09:17:30.740,691,0081f986054d,-78,2.74
2026/01/30 09:17:34.228,202,0081f986054d,-78,2.74
2026/01/30 09:17:34.278,730,0081f986054d,-77,2.74
2026/01/30 09:17:35.898,729,0081f986054d,-81,2.74
